vendor_code,vendor_name,city_id,business_line,grade
2w166y,سوخارست,1,Restaurant,Not Enough Comments
58kogz,فلافل آقاجون,1,Restaurant,Not Enough Comments
2mm4wn,کترینگ و غذای مجلسی یاران ,1,Restaurant,Not Enough Comments
5r699p,کبابی برادران دانه ای,1,Restaurant,Not Enough Comments
5g738k,سالاد بار لیکی,2,Restaurant,A
2xg6g7,سی دا,2,Restaurant,A
5gp1r2,کاج,1,Restaurant,Not Enough Comments
2ymog8,کترینگ بهشت ,1,Restaurant,Not Enough Comments
2yom37,تپلی برگر,1,Restaurant,Not Enough Comments
5xw6z2,فست فود و مرغ بریان پدر,1,Restaurant,Not Enough Comments
2yo4mo,فست فود داویچ,1,Restaurant,Not Enough Comments
5zkgmk,فست فود فلازون (پونک),2,Restaurant,A
5w3wn6,فست فود هیولاویچ,2,Restaurant,A
577rwp,کافه پارادیزو,2,Restaurant,A
53z94r,پیتزا ساندویچ رضا (شعبه 1),1,Restaurant,Not Enough Comments
233873,کباب امید,1,Restaurant,Not Enough Comments
2ox7yo,برگرکار,2,Restaurant,A
2nlkkw,پیتزا امیران,1,Restaurant,Not Enough Comments
5zlgk9,چلو کبابی راد,1,Restaurant,Not Enough Comments
28knwp,هات لند,1,Restaurant,Not Enough Comments
2941ro,ساندویچ کارن,1,Restaurant,Not Enough Comments
5zl166,ساندویچ درسته,1,Restaurant,Not Enough Comments
59nymy,ویرو,1,Restaurant,Not Enough Comments
5x7gkk,رستوران حاج رضائی,1,Restaurant,Not Enough Comments
5zlnl4,پیتزا بلوط,2,Restaurant,A
5kl88l,فست فود پارمجانو,1,Restaurant,Not Enough Comments
5o3nmn,کترینگ مجید,1,Restaurant,Not Enough Comments
5w1rxl,دلنشین,1,Restaurant,Not Enough Comments
2lww8l,رستوران حاج رضایی,1,Restaurant,Not Enough Comments
5zkx88,کافه فست فود حس خوب ,1,Restaurant,Not Enough Comments
5gx14w,عمو حسن,2,Restaurant,A
269nl1,فست فود طهران قدیم (جامی سابق),2,Restaurant,A
5473n7,کافه غذا رووف,1,Restaurant,Not Enough Comments
2p3n48,فست فود بامبو,1,Restaurant,Not Enough Comments
294nx7,برگر سوخاری عمو جهان ,1,Restaurant,Not Enough Comments
5o3zok,کابلاس,1,Restaurant,Not Enough Comments
233m79,سنتی سرای ارسلان ,1,Restaurant,Not Enough Comments
2mr8x5,فست فود پدر ژپتو,1,Restaurant,Not Enough Comments
5lw4r1,رستوران مسعود,2,Restaurant,A
2869py,کبابی ناصر,1,Restaurant,Not Enough Comments
5o3444,دیزی بیار,2,Restaurant,A
2gp895,اغذیه حامد,1,Restaurant,Not Enough Comments
51ylrm,تهیه غذای ایرانی وحید,2,Restaurant,A
264z82,رستوران حضرات,1,Restaurant,Not Enough Comments
5g93p7,فست فود فلازون (سعادت آباد),2,Restaurant,A
5lz17w,ساندویچ سرد سورین,1,Restaurant,Not Enough Comments
5o1y9k,مستر سوخاری ,1,Restaurant,Not Enough Comments
59gop5,پاستا و سوخاری پاتوق,1,Restaurant,Not Enough Comments
28p61w,پیتزا و غذای فرنگی کاریز,1,Restaurant,Not Enough Comments
2k3p46,پلو کبابی گلپایگان,2,Restaurant,A
28pl3m,کباب طوری,1,Restaurant,Not Enough Comments
5lw8lo,فست فود پشندی,1,Restaurant,Not Enough Comments
2p8o4l,معین بروستد,1,Restaurant,Not Enough Comments
2lzl7l,چلوباچی,2,Restaurant,A
2g9nmg,غذای خونگی برکه,1,Restaurant,Not Enough Comments
28ong5,سمبوسه و فلافل دوستان,5,Restaurant,A
56961m,فست فود آرام برگر ,1,Restaurant,Not Enough Comments
2lwpnw,پیتزا آمی چی,2,Restaurant,A
274nk5,امیر برگر (شبانه),1,Restaurant,Not Enough Comments
566kwo,حلواباکس,1,Restaurant,Not Enough Comments
2664pg,ساندویچ جواد,1,Restaurant,A
21oyz1,ساندویچ اسد ,1,Restaurant,Not Enough Comments
5697pl,فست فود طاها,1,Restaurant,Not Enough Comments
2pzgx2,اسپیو,1,Restaurant,Not Enough Comments
27m6o1,فست‌فود‌پایتخت,1,Restaurant,Not Enough Comments
5lwzm3,فست فود چیل,1,Restaurant,Not Enough Comments
